name,id,mass,fall,year,latitude,longitude,class_cat
Mrirt,16819,79,Found,1937,33.13333,-5.56667,Other Categories
Belle Plaine,5004,78,Found,1950,37.31667,-97.25,Stony Meteorites - Chondrites
Finmarken,10103,78,Found,1902,70.0,24.0,Stony-Iron Meteorites - Pallasites
Parnallee,18108,77,Fell,1857,9.23333,78.35,Stony Meteorites - Chondrites
Jiddat al Harasis 230,35549,77,Found,2005,19.7127,56.58277,Stony Meteorites - Chondrites
Moorumbunna,16739,77,Found,1943,-28.91667,136.25,Iron Meteorites - Category I
Yelland Dry Lake,52641,76,Found,2007,39.35067,-114.40783,Stony Meteorites - Chondrites
Augusta County,4897,76,Found,1858,38.16667,-79.08333,Iron Meteorites - Category I
Northbranch,17010,76,Found,1972,39.99167,-98.34167,Stony Meteorites - Chondrites
Tawallah Valley,23889,75,Found,1939,-15.7,135.66667,Iron Meteorites - Category IV
Bayard,4978,75,Found,1982,41.81667,-103.36667,Stony Meteorites - Chondrites
Xingyang,24346,75,Fell,1977,32.33333,114.31667,Stony Meteorites - Chondrites
Acme,371,75,Found,1947,33.63333,-104.26667,Stony Meteorites - Chondrites
Walker County,24204,74,Found,1832,34.0,-87.16667,Iron Meteorites - Category I
Hunter,11987,74,Found,1962,36.56,-97.66667,Stony Meteorites - Chondrites
Wolsey,24328,74,Found,1981,44.4,-98.53333,Iron Meteorites - Category I
Tilden,23998,74,Fell,1927,38.2,-89.68333,Stony Meteorites - Chondrites
Ethiudna,10060,74,Found,1977,-32.03333,139.78333,Stony Meteorites - Chondrites
Nelson County,16942,73,Found,1856,37.75,-85.5,Other Categories
Toufassour,47702,73,Found,2007,29.65225,-7.7493,Stony-Iron Meteorites - Mesosiderites
Uwharrie,24139,72,Found,1930,35.51667,-79.96667,Iron Meteorites - Category I
Uruaçu,24131,72,Found,1992,-14.53333,-48.76667,Iron Meteorites - Category I
Isoulane-n-Amahar,12052,72,Found,1945,27.12917,8.66722,Stony Meteorites - Chondrites
Tlacotepec,24013,71,Found,1903,18.65,-97.55,Iron Meteorites - Category IV
Wooramel,24335,71,Found,1969,-25.65,114.21667,Stony Meteorites - Chondrites
Sierra Colorada,23588,71,Found,1995,-40.8,-67.48333,Stony Meteorites - Chondrites
Portales Valley,18874,71,Fell,1998,34.175,-103.295,Stony Meteorites - Chondrites
Merua,15492,71,Fell,1920,25.48333,81.98333,Stony Meteorites - Chondrites
Mafuta,15384,71,Found,1984,-16.9025,30.40722,Iron Meteorites - Category II
Smithville,23654,70,Found,1840,35.98333,-85.85,Iron Meteorites - Category I
Lahmada 009,12422,70,Found,1999,27.16667,-9.5,Stony Meteorites - Chondrites
Mahadevpur,47361,70,Fell,2007,27.66667,95.78333,Stony Meteorites - Chondrites
Peña Blanca Spring,18786,70,Fell,1946,30.125,-103.11667,Stony Meteorites - Achondrites
Landes,12457,69,Found,1930,38.9,-79.18333,Iron Meteorites - Category I
Smithonia,23651,69,Found,1940,34.0,-83.16667,Iron Meteorites - Category I
Xinyi,24347,69,Found,1975,34.36667,118.33333,Stony Meteorites - Chondrites
Marlow,15428,68,Found,1936,34.6,-97.91667,Stony Meteorites - Chondrites
Burlington,5172,68,Found,1819,42.75,-75.18333,Iron Meteorites - Category II
Hamilton (Queensland),11483,68,Found,1966,-28.48333,148.25,Stony Meteorites - Chondrites
Wu-chu-mu-ch'in,24341,68,Found,1920,45.5,118.0,Iron Meteorites - Category I
Soledade,23662,68,Found,1986,-29.05,-51.43333,Iron Meteorites - Category I
Rahimyar Khan,31302,67,Fell,1983,28.225,70.2,Stony Meteorites - Chondrites
Springwater,23692,67,Found,1931,52.0,-108.3,Stony-Iron Meteorites - Pallasites
Pervomaisky,18798,66,Fell,1933,56.63333,39.43333,Stony Meteorites - Chondrites
Sychevka,23772,65,Found,1988,51.125,127.495,Iron Meteorites - Category I
Timochin,24004,65,Fell,1807,54.5,35.2,Stony Meteorites - Chondrites
Bocaiuva,5092,64,Found,1965,-17.16667,-43.83333,Iron Meteorites - Category U (Uncategorized)
Signal Mountain,23592,63,Found,1919,32.5,-115.5,Iron Meteorites - Category IV
Derrick Peak 88017,6668,63,Found,1988,-80.06667,156.38333,Iron Meteorites - Category I
Santa Clara,23163,63,Found,1976,24.46667,-103.35,Iron Meteorites - Category IV
Treysa,24050,63,Fell,1916,50.91667,9.18333,Iron Meteorites - Category I
Thunda,23978,62,Found,1881,-25.7,143.05,Iron Meteorites - Category I
Tanezrouft 072,31333,62,Found,2002,24.43817,0.103,Stony Meteorites - Chondrites
Covert,5456,61,Found,1896,39.2,-98.78333,Stony Meteorites - Chondrites
Gold Basin,10940,61,Found,1995,35.875,-114.23333,Stony Meteorites - Chondrites
Yongning,30365,60,Found,1971,22.75,108.33333,Iron Meteorites - Category I
Savannah,23189,60,Found,1923,35.16667,-88.18333,Iron Meteorites - Category I
Nicolás Levalle,52413,60,Found,1956,-38.85028,-62.87889,Stony Meteorites - Chondrites
Hex River Mountains,11880,60,Found,1882,-33.31667,19.61667,Iron Meteorites - Category I
Derrick Peak A78008,6684,59,Found,1978,-80.06667,156.38333,Iron Meteorites - Category I
Piedade do Bagre,18817,59,Found,1922,-18.94167,-44.98333,Iron Meteorites - Category U (Uncategorized)
Łowicz,14718,59,Fell,1935,52.0,19.91667,Stony-Iron Meteorites - Mesosiderites
Bohumilitz,5099,59,Found,1829,49.05,13.76667,Iron Meteorites - Category I
Quijingue,22362,59,Found,1984,-10.75,-39.21667,Stony-Iron Meteorites - Pallasites
Aliskerovo,472,58,Found,1977,67.88333,167.5,Iron Meteorites - Category II
Guadalupe y Calvo,11431,58,Found,1971,26.1,-106.96667,Iron Meteorites - Category I
Ivanpah,12062,58,Found,1880,35.33333,-115.31667,Iron Meteorites - Category I
Julesburg,12208,57,Found,1983,39.975,-102.26667,Stony Meteorites - Chondrites
Miami,16630,57,Found,1930,35.66667,-100.6,Stony Meteorites - Chondrites
Gladstone (stone),10921,57,Found,1936,36.3,-104.0,Stony Meteorites - Chondrites
Phillips County (stone),18808,57,Fell,1901,40.0,-99.25,Stony Meteorites - Chondrites
Farmville,10075,56,Fell,1934,35.55,-77.53333,Stony Meteorites - Chondrites
Warburton Range,24212,56,Found,1963,-26.28333,126.66667,Iron Meteorites - Category IV
Ashmore,2349,55,Found,1969,32.9,-102.28333,Stony Meteorites - Chondrites
Wellman (a),24237,55,Found,1940,33.03333,-102.33333,Stony Meteorites - Chondrites
Kulnine,12372,55,Found,1886,-34.15,141.78333,Stony Meteorites - Chondrites
Jenkins,12080,55,Found,1946,36.82444,-93.76111,Iron Meteorites - Category I
Elenovka,7824,54,Fell,1951,47.83333,37.66667,Stony Meteorites - Chondrites
Markovka,15427,54,Found,1967,52.4,79.8,Stony Meteorites - Chondrites
Veramin,24162,54,Fell,1880,35.33333,51.63333,Stony-Iron Meteorites - Mesosiderites
Dunganville,7748,54,Found,1976,-42.55,171.35,Iron Meteorites - Category I
Chihuahua City,5350,54,Found,1929,28.66667,-106.11667,Other Categories
Uwet,24138,54,Found,1903,5.28333,8.25,Iron Meteorites - Category I
Aprel'sky,2319,54,Found,1969,53.3,126.11667,Iron Meteorites - Category I
Rosebud,22767,54,Found,1915,30.81667,-97.05,Stony Meteorites - Chondrites
Kumerina,12375,53,Found,1937,-24.91667,119.41667,Iron Meteorites - Category II
Ruff's Mountain,22779,53,Found,1844,34.3,-81.4,Iron Meteorites - Category I
Dalton,5509,53,Found,1879,34.8,-84.98333,Iron Meteorites - Category I
Nan Yang Pao,16903,52,Fell,1917,35.66667,103.5,Stony Meteorites - Chondrites
Ahumada,419,52,Found,1909,30.7,-105.5,Stony-Iron Meteorites - Pallasites
Stannern,23713,52,Fell,1808,49.28333,15.56667,Stony Meteorites - Achondrites
Ilimaes (iron),12022,51,Found,1870,-26.0,-70.0,Iron Meteorites - Category I
Benjamin,5020,51,Found,1969,33.58333,-99.8,Stony Meteorites - Chondrites
Leedey,12755,51,Fell,1943,35.88333,-99.33333,Stony Meteorites - Chondrites
Grand Rapids,10955,51,Found,1883,42.96667,-85.76667,Iron Meteorites - Category U (Uncategorized)
Lancé,12455,51,Fell,1872,47.7,1.06667,Stony Meteorites - Achondrites
Mungindi,16872,51,Found,1897,-28.93333,148.95,Iron Meteorites - Category I
Willow Creek,24276,51,Found,1914,43.46667,-106.76667,Iron Meteorites - Category II
Northwest Africa 6903,53891,50,Found,2008,32.37167,-6.36,Iron Meteorites - Category I
Krymka,12364,50,Fell,1946,47.83333,30.76667,Stony Meteorites - Chondrites
Aumale,4899,50,Fell,1865,36.16667,3.66667,Stony Meteorites - Chondrites
Santa Vitoria do Palmar,35478,50,Found,2003,-33.50944,-53.41083,Stony Meteorites - Chondrites
Northwest Africa 5775,49455,50,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
La Grange,12399,50,Found,1860,38.4,-85.36667,Iron Meteorites - Category IV
Winburg,24283,50,Found,1881,-28.5,27.0,Other Categories
Northwest Africa 1581,17340,50,Found,2001,31.38333,-4.25,Stony Meteorites - Chondrites
Hinojal,11887,50,Found,1927,-32.36667,-60.15,Stony Meteorites - Chondrites
Davy (a),6616,50,Found,1940,29.1,-97.6,Stony Meteorites - Chondrites
Limerick,14652,50,Fell,1813,52.56667,-8.78333,Stony Meteorites - Chondrites
Ausson,4903,50,Fell,1858,43.08333,0.58333,Stony Meteorites - Chondrites
Richland,22601,50,Found,1951,31.9,-96.4,Iron Meteorites - Category I
Zagora,30387,50,Found,1987,30.36667,-5.85,Iron Meteorites - Category I
Akyumak,433,50,Fell,1981,39.91667,42.81667,Iron Meteorites - Category IV
Nuevo Mercurio,17938,50,Fell,1978,24.3,-102.13333,Stony Meteorites - Chondrites
Waconda,24195,50,Found,1873,39.33333,-98.16667,Stony Meteorites - Chondrites
Dhofar 1654,55572,50,Found,2011,18.67877,54.2876,Stony Meteorites - Chondrites
Wuan,24340,50,Fell,1986,36.75,114.25,Stony Meteorites - Chondrites
Valera,24149,50,Fell,1972,9.31667,-70.62833,Stony Meteorites - Chondrites
Hammadah al Hamra 153,11636,50,Found,1995,28.60033,13.5775,Stony Meteorites - Chondrites
Ingella Station,12034,50,Found,1987,-25.55,142.78333,Stony Meteorites - Chondrites
Agua Blanca,397,49,Found,1938,-28.91667,-66.95,Iron Meteorites - Category I
Hraschina,11916,49,Fell,1751,46.1,16.33333,Iron Meteorites - Category II
Mapleton,15410,49,Found,1939,42.18333,-95.71667,Iron Meteorites - Category I
Jiddat al Harasis 342,45866,49,Found,2006,19.71458,56.54755,Stony Meteorites - Chondrites
Bear Lodge,4983,48,Found,1931,44.5,-104.2,Iron Meteorites - Category I
Thule,23977,48,Found,1955,76.53333,-67.55,Iron Meteorites - Category I
Bagnone,4921,48,Found,1904,44.31667,9.98333,Iron Meteorites - Category I
Bischtübe,5057,48,Found,1888,51.95,62.2,Iron Meteorites - Category I
Crab Orchard,5461,48,Found,1887,35.83333,-84.91667,Stony-Iron Meteorites - Mesosiderites
Cabin Creek,5186,48,Fell,1886,35.5,-93.5,Iron Meteorites - Category I
Jackalsfontein,12065,48,Fell,1903,-32.5,21.9,Stony Meteorites - Chondrites
Woodbine,24330,48,Found,1953,42.34667,-90.1675,Iron Meteorites - Category I
Sukhoj Liman,23739,48,Found,1987,46.4,30.8,Stony Meteorites - Chondrites
Roy (1933),22774,47,Found,1933,35.95,-104.2,Stony Meteorites - Chondrites
Gomez,10944,47,Found,1974,33.18139,-102.40139,Stony Meteorites - Chondrites
Dresden (Ontario),7731,47,Fell,1939,42.52,-82.26,Stony Meteorites - Chondrites
Red Rock,22549,47,Found,1976,35.41667,-117.91667,Iron Meteorites - Category I
Cuero,5493,46,Found,1936,29.01667,-97.28333,Stony Meteorites - Chondrites
Dumas (a),7741,46,Found,1956,35.9,-101.9,Stony Meteorites - Chondrites
Asuka 87251,2608,46,Found,1987,-72.0,26.0,Stony Meteorites - Chondrites
Harrisonville,11844,46,Found,1933,38.65,-94.33333,Stony Meteorites - Chondrites
Jiddat al Harasis 203,45839,46,Found,2002,19.983,56.41368,Stony-Iron Meteorites - Mesosiderites
Osseo,18037,46,Found,1931,47.63333,-80.08333,Iron Meteorites - Category I
Linwood,14657,46,Found,1940,41.43333,-96.96667,Iron Meteorites - Category I
Rancho de la Pila (1882),22389,46,Found,1882,24.11667,-104.3,Iron Meteorites - Category I
Lakewood,12450,46,Found,1955,32.62972,-104.35,Stony Meteorites - Chondrites
Kuttippuram,12384,45,Fell,1914,10.83333,76.03333,Stony Meteorites - Chondrites
Vyatka,24193,45,Found,1991,57.53333,49.0,Stony Meteorites - Chondrites
Kyushu,12390,45,Fell,1886,32.03333,130.63333,Stony Meteorites - Chondrites
Needles,16936,45,Found,1962,34.44417,-114.8325,Iron Meteorites - Category II
Northwest Africa 7150,54902,45,Found,2011,0.0,0.0,Stony Meteorites - Chondrites
Hammadah al Hamra 173,11656,45,Found,1996,28.63667,13.1965,Stony Meteorites - Chondrites
La Criolla,12396,45,Fell,1985,-31.23333,-58.16667,Stony Meteorites - Chondrites
Wellman (c),24239,45,Found,1964,33.03333,-102.33333,Stony Meteorites - Chondrites
Peace River,18180,45,Fell,1963,56.13333,-117.93333,Stony Meteorites - Chondrites
Bensour,5024,45,Fell,2002,30.0,-7.0,Stony Meteorites - Chondrites
Woodward County,24333,45,Found,1923,36.5,-99.5,Stony Meteorites - Chondrites
Dhajala,6698,45,Fell,1976,22.37778,71.42722,Stony Meteorites - Chondrites
Thuathe,23976,45,Fell,2002,-29.33333,27.58333,Stony Meteorites - Chondrites
Marjalahti,15426,45,Fell,1902,61.5,30.5,Stony-Iron Meteorites - Pallasites
Sandia Mountains,23156,45,Found,1925,35.25,-106.5,Iron Meteorites - Category I
Horh Uul,11909,44,Found,2001,43.25,104.16667,Iron Meteorites - Category I
Kelly,12273,44,Found,1937,40.46667,-103.03333,Stony Meteorites - Chondrites
Rodeo,22643,44,Found,1852,25.33333,-104.66667,Iron Meteorites - Category II
Beenham,4995,44,Found,1937,36.21667,-103.65,Stony Meteorites - Chondrites
Barwell,4954,44,Fell,1965,52.56528,-1.33972,Stony Meteorites - Chondrites
Dix,7651,44,Found,1927,41.23333,-103.48333,Stony Meteorites - Chondrites
Ust-Nyukzha,24133,44,Found,1992,56.38333,120.46667,Iron Meteorites - Category I
Saginaw,22797,44,Found,1979,32.86583,-97.32306,Other Categories
Dar al Gani 610,6157,44,Found,1998,26.85,16.73333,Stony Meteorites - Chondrites
Northwest Africa 5460,49176,44,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
Dhofar 1433,45837,44,Found,2006,18.43333,54.1,Stony Meteorites - Chondrites
